claim_id,status,confidence,claim_it,suggested_website_copy_it,source_ids,use_location,notes
C001,publishable_with_source,high,"Dottore Agronomo Michele Ghezzi è un libero professionista iscritto all’ODAF Milano, attivo nella consulenza tecnico-agronomica.","Dottore Agronomo e consulente tecnico-agronomico, Michele Ghezzi supporta aziende agricole nella gestione sostenibile delle colture.",S001,About / hero subtitle,"ODAF-specific wording should still be confirmed directly with Michele, but public source supports it."
C002,publishable_with_source,high,"La sua attività riguarda aziende orticole, piccoli frutti, vivai, verde, cerealicoltura, floricoltura, frutticoltura, viticoltura, olivicoltura, canapa e aromatiche.","Consulenza per piccoli frutti, orticoltura, vivaismo, verde, colture erbacee e arboree, canapa e aromatiche.",S001,Services,Consider simplifying on homepage to avoid an overly long list.
C003,publishable_with_source,high,"Consiglia l’uso di microrganismi utili come batteri PGPR, funghi antagonisti e micorrize, concimi biologici, humus di lombrico, leonardite e ammendanti.","Sviluppa piani tecnici basati su microrganismi utili, sostanza organica di qualità, concimi biologici e ammendanti selezionati.",S001,Services / approach,Use consumer-friendly phrasing with technical terms available in service cards.
C004,publishable_with_source,high,Elabora piani di fertilizzazione mirati in particolare per impianti di piccoli frutti.,Piani di fertilizzazione mirati per impianti di piccoli frutti.,S001,Services / cards,"Strong, concise service bullet."
C005,publishable_with_source,high,È coautore con Nicola Noè del libro 'Coltivazione biologica e integrata di piccoli frutti: esperienze in impianti in Nord Italia'.,"Coautore, con Nicola Noè, di 'Coltivazione biologica e integrata di piccoli frutti: esperienze in impianti in Nord Italia'.",S003; S004,Publications,Include book details and link. Use cover image only with permission.
C006,publishable_with_source,high,"Il libro tratta lamponi, more, ribes, uva spina, mirtilli, lonicera, fragolina di bosco, condizioni pedoclimatiche, cultivar, materiali organici e microrganismi benefici.","Il volume approfondisce specie e cultivar di piccoli frutti, condizioni pedoclimatiche, pratiche colturali sostenibili, materiali organici e microrganismi benefici.",S004,Publications description,Paraphrase; avoid long direct quotations.
C007,publishable_with_source,high,Ha presentato a Macfrut 2025 un intervento su metodi di concimazione innovativi per il mirtillo.,Relatore a Macfrut 2025 / Berry Area con un intervento sui metodi di concimazione innovativi per il mirtillo.,S006; S007; S005,Events / homepage proof point,Official Macfrut program is strongest source.
C008,publishable_with_source,high,"La presentazione Macfrut/Berry Area 2025 si concentra su coltivazione biologica e integrata, analisi del sito, suolo/acqua, varietà certificate, fertilizzazione biologica e difesa a basso impatto.","Gli interventi tecnici di Macfrut / Berry Area approfondiscono protocolli sostenibili per mirtillo e piccoli frutti, dalla valutazione del sito alla fertilizzazione biologica.",S005; S008; S009,Events / expertise summary,"Use broad summary, not exact program copy."
C009,publishable_with_source,high,Ha presentato a Macfrut 2026 / Berry Area un intervento sui protocolli avanzati per la concimazione biologica del mirtillo in pieno campo e fuori suolo.,Relatore a Macfrut 2026 / Berry Area sui protocolli avanzati per la concimazione biologica del mirtillo in pieno campo e fuori suolo.,S010; S011,Events / recent news,"As of 2026-05-02 this is a recent event, not upcoming."
C010,publishable_with_source,high,"Ha tenuto lezioni nell’ambito del corso 'L’agricoltura verso la transizione ecologica' presso Fondazione Fojanini, su pratiche e tecniche per la gestione del suolo e dell’acqua nell’ottica del risparmio delle risorse.",Docente in corsi tecnici su gestione sostenibile di suolo e acqua nell’ambito della transizione ecologica in agricoltura.,S012,Training / education,"Avoid claiming year unless Michele confirms, since PDF has no obvious year in parsed text."
C011,publishable_with_source,high,"Ha svolto sperimentazioni con Centro Lombricoltura Toscano e Fondazione Fojanini su Humus CLT e Onus CLT per piccoli frutti, in particolare Mirtillo Gigante Americano.","Ha seguito sperimentazioni agronomiche su prodotti organici e biostimolanti applicati ai piccoli frutti, in collaborazione con realtà tecniche e sperimentali del settore.",S013,Collaborations / sperimentazioni,"If naming CLT/Fojanini on website, Michele should approve wording."
C012,publishable_with_source,high,Ha partecipato come relatore al seminario Cosmogarden 2024 'Coltivazione biologica integrata di piccoli frutti: esperienze in impianti in Nord Italia'.,Relatore a Cosmogarden 2024 sul tema della coltivazione biologica integrata dei piccoli frutti.,S002,Events,Official event page supports date/time/speakers.
C013,publishable_with_source,high,Nel 2022 ha tenuto al Cosmogarden interventi su aspetti generali di coltivazione biologica/integrata e tecniche di concimazione sostenibile.,Ha tenuto interventi tecnici su coltivazione biologica/integrata e concimazione sostenibile dei piccoli frutti.,S014; S015,Event archive,"Use in archive, not necessarily homepage."
C014,confirm_before_publishing,medium,Collaborazione con Agriterra o corsi nelle scuole.,Da non pubblicare finché Michele non conferma e fornisce una fonte o descrizione aggiornata.,S019,N/A,No reliable public source found in targeted searches.
C015,confirm_before_publishing,medium,"Contatti diretti, telefono, email, indirizzo, Partita IVA, numero di impianti/aziende seguite.",Da compilare solo con dati forniti direttamente da Michele.,S017; family-provided notes,Contact / About,Avoid scraping contact details from public pages. Ask Michele what to publish.
C016,archive_only_after_confirmation,medium,Nel 2015 Michele Ghezzi risulta citato in un evento con Filnova sui mezzi tecnici per agricoltura integrata e biologica.,"Usare solo in CV completo o cronologia, non come affiliazione attuale.",S016,Archive CV only,Older source; not suitable for homepage.
