id,title,publisher,url,type,evidence_summary,confidence,website_use,rights_note
S001,Cosmogarden 2024 speaker profile: Ghezzi Michele,Cosmogarden,https://www.cosmogarden.it/relatori-2024/,speaker profile,"Lists 'Ghezzi Michele' as Dottore Agronomo; states he is ODAF Milano, libero professionista; lists consulting sectors and technical focus on PGPR, antagonist fungi, mycorrhizae, biological fertilizers, humus, leonardite, amendments, and targeted fertilization plans for small fruits.",high,"Strong source for About, Services, and technical positioning.",Safe to link and paraphrase with attribution. Do not copy page photos without permission.
S002,Cosmogarden event: Coltivazione biologica integrata di piccoli frutti,Cosmogarden,https://www.cosmogarden.it/evento/coltivazione-biologica-integrata-di-piccoli-frutti-esperienze-in-impianti-in-nord-italia/,event page,"Lists the 6 April event, its topic, and speakers Dott. Agr. Nicola Noé and Dott. Agr. Michele Ghezzi.",high,Use in 'Interventi e formazione' section.,Safe to link; do not reuse images without permission.
S003,Libreria Universitaria book listing: Coltivazione biologica e integrata di piccoli frutti,Libreria Universitaria,https://www.libreriauniversitaria.it/coltivazione-biologica-integrata-piccoli-frutti/book/9786200841117,book listing,"Lists title, subtitle, authors Michele Ghezzi and Nicola Noe, publisher Edizioni Accademiche Italiane, EAN 9786200841117, ISBN 620084111X, 236 pages, paperback.",high,Use in Publications section. Link out to book page.,Book cover image likely requires author/publisher permission unless Michele has rights.
S004,ItalianBerry article: Piccoli frutti: un’analisi degli impianti in Italia settentrionale,ItalianBerry,https://italianberry.it/news/piccoli-frutti-un8217analisi-degli-impianti-in-italia-settentrionale-1405,article/book coverage,"Announces and summarizes the book published 15 March; describes focus on raspberries, blackberries, currants, gooseberries, blueberries, lonicera, wild strawberry, northern Italy, pedoclimatic conditions, cultivar choice, organic materials, and beneficial microorganisms.",high,Use as press/reading link and to describe book themes.,Article can be linked. Avoid copying full article or reusing images unless license/permission is explicit.
S005,ItalianBerry article: Tecniche sostenibili di coltivazione dei piccoli frutti,ItalianBerry,https://italianberry.it/news/tecniche-sostenibili-di-coltivazione-dei-piccoli-frutti-i-nuovi-protocolli-macfrut-2025,article/event preview,"States that at Macfrut 2025 Michele Ghezzi would present an innovative organic/integrated approach to berries; summarizes themes of site analysis, soil/water, certified varieties, biological fertilization, zero-impact pest/disease control, blueberry protocol, mycorrhizae, PGPR, seaweed, amino acids, plant extracts, and applicability to raspberries, blackberries, currants, gooseberries, open field and soilless systems.",high,"Use in News/Press and as source for service language, with paraphrase.",Safe to link; images and article media should not be reused without permission.
S006,Macfrut 2025 program: Tuesday May 6,Macfrut,https://www.macfrut.com/en/meeting/563/,official event program,Lists 17:00 'Innovative fertilization methods for blueberries - Michele Ghezzi (Agronomist)'.,high,Use as official evidence for Macfrut 2025 speaker credential.,Safe to link. Event logos/images require permission/brand compliance.
S007,Berry Area 2025 Guide PDF,NCX Drahorad / ItalianBerry,https://flipbook.ncx.it/italianberry/berry-area-guide.pdf,PDF program guide,Program guide lists 'Metodi di concimazione innovativi per il mirtillo - Michele Ghezzi (Agronomo)' at 17:00 on Tuesday May 6.,high,Optional supporting source for event archive.,Safe to link. Do not host PDF copy unless permission is granted.
S008,Presentation PDF: Metodi di concimazione innovativi per il mirtillo,NCX Drahorad / ItalianBerry flipbook,https://flipbook.ncx.it/italianberry/metodi-di-concimazione-innovativi-per-il-mirtillo-michele-ghezzi-berry-area-macfrut-2025.pdf,presentation PDF,"Public presentation attributed to Michele Ghezzi for Berry Area/Macfrut 2025. Includes discussion of adaptable protocols for blueberry, raspberry, blackberry, currant, gooseberry, and soilless blueberry/raspberry systems; final slide identifies Michele as Dottore Agronomo and includes ODAF registration information.",high,Link as technical presentation. Do not embed or reuse slides without Michele/event permission.,Safe to link; permission needed before reusing slide images or hosting a copy.
S009,Berry Area Magazine PDF,NCX Drahorad / ItalianBerry,https://flipbook.ncx.it/italianberry/Berry_Area_Magazine.pdf,PDF magazine,Includes a page titled 'Fertilizzazione bioattiva e difesa a impatto zero: un nuovo approccio per i berries' that summarizes Michele Ghezzi’s Macfrut 2025 presentation themes.,high,Use as a linked press/feature item.,Safe to link. Do not reuse magazine layouts/images without permission.
S010,Macfrut 2026 Berry Area technical session,Macfrut,https://www.macfrut.com/en/meeting/658/berry_area___technical_session,official event program,Lists the 21 April 2026 Berry Area technical session at Berry Area Arena Hall B2 and Michele Ghezzi’s 13:00–13:30 talk: 'Advanced protocols for the biological fertilization of blueberries in open fields and soilless'.,high,Use as recent speaking credential.,Safe to link. Event logos/images require permission/brand compliance.
S011,ItalianBerry 2026 presentation page,ItalianBerry,https://italianberry.it/news/berry-area-2026-sfoglia-e-scarica-tutte-le-presentazioni,presentation index,Lists Michele Ghezzi under 'Protocolli avanzati per la concimazione biologica del mirtillo in pieno campo e fuori suolo'.,high,Use as source for downloadable/linked presentation.,Safe to link; do not host the presentation copy without permission.
